@timestamp,destination.ip,source.ip,network.transport,destination.port,source.port
"Oct 21, 2022 @ 18:14:50.001",192.168.0.3,192.168.0.4,tcp,69,46486
"Oct 21, 2022 @ 18:14:50.001",192.168.0.3,192.168.0.4,tcp,80,60004
"Oct 21, 2022 @ 18:14:50.001",192.168.0.3,192.168.0.4,tcp,8080,35616
"Oct 21, 2022 @ 18:14:50.001",192.168.0.3,192.168.0.4,tcp,443,39836
"Oct 21, 2022 @ 18:14:50.001",192.168.0.3,192.168.0.4,tcp,80,39254
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,110,33288
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,23,51042
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,21,46244
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,22,54476
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,69,46486
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,80,60004
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,8080,35616
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,443,39836
"Oct 21, 2022 @ 18:14:40.001",192.168.0.3,192.168.0.4,tcp,80,39254
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,110,33288
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,23,51042
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,21,46244
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,22,54476
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,69,46486
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,80,60004
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,8080,35616
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,443,39836
"Oct 21, 2022 @ 18:14:30.002",192.168.0.3,192.168.0.4,tcp,80,39254
