"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message
"Oct 23, 2022 @ 23:57:57.738","QdeQBYQBlvB-G1GIrhlY",".ds-filebeat-8.4.3-2022.10.20-000001","-","9b87242d-348b-435d-9341-01f3bc95e374",85bda7222493,"b86e6f91-d897-45da-8091-8a64b295d939",85bda7222493,filebeat,"8.4.3","8.0.0","x86_64",false,85bda7222493,8cf3365990f249959cd62d437e8e5494,"172.16.0.4","02:42:ac:10:00:04",85bda7222493,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",log,"/var/log/auth.log","7,338","Oct 23 15:57:54 85bda7222493 sshd[283]: Accepted publickey for bob from 172.16.0.9 port 34084 ssh2: RSA SHA256:svUYivs8he0tZ5YL/rNQMdh0yxfD718nL1w9WhB9jSo"
"Oct 23, 2022 @ 22:13:53.289","BdcxBYQBlvB-G1GIZQ70",".ds-filebeat-8.4.3-2022.10.20-000001","-","9b87242d-348b-435d-9341-01f3bc95e374",85bda7222493,"b86e6f91-d897-45da-8091-8a64b295d939",85bda7222493,filebeat,"8.4.3","8.0.0","x86_64",false,85bda7222493,8cf3365990f249959cd62d437e8e5494,"172.16.0.4","02:42:ac:10:00:04",85bda7222493,jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",log,"/var/log/auth.log","4,777","Oct 23 14:13:52 85bda7222493 sshd[221]: Accepted publickey for bob from 172.16.0.9 port 55396 ssh2: RSA SHA256:svUYivs8he0tZ5YL/rNQMdh0yxfD718nL1w9WhB9jSo"
