"@timestamp","destination.ip","source.ip","destination.port","network.transport","source.port","destination.bytes"
"Oct 22, 2022 @ 14:46:00.002","192.168.0.4","192.168.0.3",69,udp,45282,"-"
"Oct 22, 2022 @ 14:45:50.001","192.168.0.4","192.168.0.3",69,udp,45282,"-"
"Oct 22, 2022 @ 14:45:40.001","192.168.0.4","192.168.0.3",69,udp,45282,"-"
"Oct 22, 2022 @ 14:45:30.000","192.168.0.4","192.168.0.3",69,udp,45282,"-"
"Oct 22, 2022 @ 14:45:20.000","192.168.0.4","192.168.0.3",69,udp,45282,"-"
"Oct 22, 2022 @ 14:45:10.002","192.168.0.4","192.168.0.3",69,udp,45282,"-"
