@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,/usr/bin/python2.7 /usr/lib/python3/dist-packages/virtualenv/discovery/py_info.py,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.754",/usr/bin/python2.7,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:(none) cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/python2.7]: /usr/bin/python2.7 /usr/lib/python3/dist-packages/virtualenv/discovery/py_info.py,256075,(none),0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,basename /exploits/Lateral_Movement_T1210/venv,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/bin/basename,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/basename]: basename /exploits/Lateral_Movement_T1210/venv,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,pip install -r requirements.txt,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/exploits/Lateral_Movement_T1210/venv/bin/pip,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/pip]: pip install -r requirements.txt,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,/sbin/ldconfig -p,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/sbin/ldconfig,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/ldconfig]: /sbin/ldconfig -p,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/exploits/Lateral_Movement_T1210/venv/bin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/local/sbin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/sbin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/local/bin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/bin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/sbin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/sbin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/bin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/sbin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
