"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","error.message","event.dataset","event.ingested","event.module","event.original","event.timezone","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset","service.type"
"Oct 24, 2022 @ 23:32:08.997",JuCfCoQBDsc6tFfSaK6S,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:32:01 dvwa_web CRON[256828]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 24, 2022 @ 23:32:09.999",system,"Oct 24 23:32:01 dvwa_web CRON[256828]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,516",system
"Oct 24, 2022 @ 23:32:08.997","J-CfCoQBDsc6tFfSaK6S",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:32:01 dvwa_web CRON[256828]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)]","system.auth","Oct 24, 2022 @ 23:32:09.999",system,"Oct 24 23:32:01 dvwa_web CRON[256828]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,650",system
"Oct 24, 2022 @ 23:32:08.997",UeCfCoQBDsc6tFfSfK8Z,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:32:01 dvwa_web CRON[256828]: pam_unix(cron:session): session closed for user root]","system.auth","Oct 24, 2022 @ 23:32:15.001",system,"Oct 24 23:32:01 dvwa_web CRON[256828]: pam_unix(cron:session): session closed for user root","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,760",system
"Oct 24, 2022 @ 23:31:03.989","J-CeCoQBDsc6tFfSap6r",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:31:01 dvwa_web CRON[256788]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 24, 2022 @ 23:31:04.992",system,"Oct 24 23:31:01 dvwa_web CRON[256788]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,180",system
"Oct 24, 2022 @ 23:31:03.989",KOCeCoQBDsc6tFfSap6r,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:31:01 dvwa_web CRON[256788]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)]","system.auth","Oct 24, 2022 @ 23:31:04.992",system,"Oct 24 23:31:01 dvwa_web CRON[256788]: pam_unix(cron:session): session opened for user root(uid=0) by (uid=0)","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,314",system
"Oct 24, 2022 @ 23:31:03.989",IeCeCoQBDsc6tFfSfp8o,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 24 23:31:01 dvwa_web CRON[256788]: pam_unix(cron:session): session closed for user root]","system.auth","Oct 24, 2022 @ 23:31:09.992",system,"Oct 24 23:31:01 dvwa_web CRON[256788]: pam_unix(cron:session): session closed for user root","+08:00",auth,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","5,424",system
