,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
212," File created:
",-,2022-10-25 01:32:10.211,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0jp24qtb.pby\tools\chocolateyUninstall.ps1,2022-10-25 01:32:10.211,,,,,,,,,,
213," File created:
",-,2022-10-25 01:32:10.211,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0jp24qtb.pby\tools\data.ps1,2022-10-25 01:32:10.211,,,,,,,,,,
214," Network connection detected:
",-,2022-10-25 01:32:09.100,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51889,-,104.20.74.28,-,443,https
215," File created:
",-,2022-10-25 01:32:10.855,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Get-AppInstallLocation.ps1,2022-10-25 01:32:10.855,,,,,,,,,,
216," File created:
",-,2022-10-25 01:32:10.856,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Get-AvailableDriveLetter.ps1,2022-10-25 01:32:10.856,,,,,,,,,,
217," File created:
",-,2022-10-25 01:32:10.857,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Get-EffectiveProxy.ps1,2022-10-25 01:32:10.857,,,,,,,,,,
218," File created:
",-,2022-10-25 01:32:10.857,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Get-PackageCacheLocation.ps1,2022-10-25 01:32:10.857,,,,,,,,,,
219," File created:
",-,2022-10-25 01:32:10.859,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Get-WebContent.ps1,2022-10-25 01:32:10.859,,,,,,,,,,
220," File created:
",-,2022-10-25 01:32:10.859,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Register-Application.ps1,2022-10-25 01:32:10.859,,,,,,,,,,
221," File created:
",-,2022-10-25 01:32:10.860,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\0b4a135s.igv\extensions\Remove-Process.ps1,2022-10-25 01:32:10.860,,,,,,,,,,
222," Network connection detected:
",-,2022-10-25 01:32:10.263,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51890,-,104.20.73.28,-,443,https
223," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Get-PackageParameters.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
224," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Get-UninstallRegistryKey.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
225," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Install-ChocolateyDesktopLink.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
226," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Write-ChocolateyFailure.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
227," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Write-ChocolateySuccess.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
228," File created:
",-,2022-10-25 01:32:11.670,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\kjw2rpnr.2ep\extensions\helpers\Write-FileUpdateLog.ps1,2022-10-25 01:32:11.670,,,,,,,,,,
229," Network connection detected:
",-,2022-10-25 01:32:10.747,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51891,-,104.20.74.28,-,443,https
230," Network connection detected:
",-,2022-10-25 01:32:10.889,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51892,-,104.20.73.28,-,443,https
231," File created:
",-,2022-10-25 01:32:12.374,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\jfvtuibo.2vb\Tools\ChocolateyInstall.ps1,2022-10-25 01:32:12.374,,,,,,,,,,
232," Network connection detected:
",-,2022-10-25 01:32:11.601,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51893,-,104.20.74.28,-,443,https
233," Network connection detected:
",-,2022-10-25 01:32:11.773,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51894,-,104.20.73.28,-,443,https
234," File created:
",-,2022-10-25 01:32:12.978,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Get-WindowsUpdateErrorDescription.ps1,2022-10-25 01:32:12.978,,,,,,,,,,
235," File created:
",-,2022-10-25 01:32:12.980,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Install-WindowsUpdate.ps1,2022-10-25 01:32:12.979,,,,,,,,,,
236," File created:
",-,2022-10-25 01:32:12.981,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Test-WindowsUpdate.ps1,2022-10-25 01:32:12.981,,,,,,,,,,
237," File created:
",-,2022-10-25 01:32:12.982,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Get-NativeInstallerExitCode.ps1,2022-10-25 01:32:12.982,,,,,,,,,,
238," File created:
",-,2022-10-25 01:32:12.982,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Install-ChocolateyPackageAndHandleExitCode.ps1,2022-10-25 01:32:12.982,,,,,,,,,,
239," File created:
",-,2022-10-25 01:32:12.983,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3ozszyse.pjm\extensions\Set-PowerShellExitCode.ps1,2022-10-25 01:32:12.983,,,,,,,,,,
240," Network connection detected:
",-,2022-10-25 01:32:12.258,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51896,-,104.20.74.28,-,443,https
241," Network connection detected:
",-,2022-10-25 01:32:12.404,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51897,-,104.20.73.28,-,443,https
242," Network connection detected:
",-,2022-10-25 01:32:12.857,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51898,-,104.20.74.28,-,443,https
