"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:25:00.001",VtaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",939,"23,528","23,528","123.123.123.123",6,80,"8.0.0","network_flow",network,flow,"5,009,373","Oct 24, 2022 @ 23:24:34.902",event,"Oct 24, 2022 @ 23:24:34.897",connection,false,"EAz/////AP//////CAwAAAF7e3sEe3t7e0aCUAAKAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","24,467","1:nMMwJ8S8TI0emKwyv59v2TjThlA=",14,tcp,ipv4,939,"123.123.123.4",8,"33,350",flow
"Oct 24, 2022 @ 23:25:00.001",V9aYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",819,"3,875","3,875","123.123.123.123",4,80,"8.0.0","network_flow",network,flow,"972,919","Oct 24, 2022 @ 23:24:34.903",event,"Oct 24, 2022 @ 23:24:34.902",connection,false,"EAz/////AP//////CAwAAAF7e3sEe3t7e1SCUAALAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","4,694","1:rKvDM2WjXDaiSUw5LF1ByuzT3NQ=",10,tcp,ipv4,819,"123.123.123.4",6,"33,364",flow
"Oct 24, 2022 @ 23:25:00.001",WNaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"227,260","Oct 24, 2022 @ 23:24:34.903",event,"Oct 24, 2022 @ 23:24:34.903",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFATN6gwMAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,254","1:1nHZ5qgcg+6m4kY4k+GeWgjKIS4=",14,tcp,ipv4,697,"10.10.10.10",8,"52,484",flow
"Oct 24, 2022 @ 23:25:00.001",WdaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",621,478,478,"10.10.10.20",5,"3,306","8.0.0","network_flow",network,flow,"105,220","Oct 24, 2022 @ 23:24:34.903",event,"Oct 24, 2022 @ 23:24:34.903",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFAbN6gwNAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:t1T2O6rW1U/l7E+OecUqO4D3jXw=",12,tcp,ipv4,621,"10.10.10.10",7,"52,486",flow
"Oct 24, 2022 @ 23:25:00.001",WtaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3","1,255","1,755","1,755","123.123.123.123",5,80,"8.0.0","network_flow",network,flow,"527,229","Oct 24, 2022 @ 23:24:34.904",event,"Oct 24, 2022 @ 23:24:34.903",connection,false,"EAz/////AP//////CAwAAAF7e3sEe3t7e2SCUAAOAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","3,010","1:6wzF9W7wCKW4wiZzRZAWWaid32w=",12,tcp,ipv4,"1,255","123.123.123.4",7,"33,380",flow
"Oct 24, 2022 @ 23:25:00.001",W9aYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",629,625,625,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"213,800","Oct 24, 2022 @ 23:24:34.904",event,"Oct 24, 2022 @ 23:24:34.903",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFArN6gwPAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,254","1:9KF8KHl+sUOqn4IbDMo6nZ8S49k=",14,tcp,ipv4,629,"10.10.10.10",7,"52,490",flow
"Oct 24, 2022 @ 23:25:00.001",XNaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"104,530","Oct 24, 2022 @ 23:24:34.904",event,"Oct 24, 2022 @ 23:24:34.904",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFBbN6gwQAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,099","1:w+zeg51Fyk/JOpYjGnaHudobHBQ=",12,tcp,ipv4,553,"10.10.10.10",6,"52,502",flow
"Oct 24, 2022 @ 23:25:00.001",XdaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",551,954,954,"127.0.0.1",5,80,"8.0.0","network_flow",network,flow,"5,097,382,810","Oct 24, 2022 @ 23:24:42.555",event,"Oct 24, 2022 @ 23:24:37.457",connection,false,"EAz/////AP//////CAwAAAF/AAABfwAAAVAA9tkRAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,505","1:DasEwQnLcns4h/qrpInceQkxotE=",10,tcp,ipv4,551,"127.0.0.1",5,"55,798",flow
"Oct 24, 2022 @ 23:25:00.001",XtaYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",735,"1,462","1,462","123.123.123.123",4,80,"8.0.0","network_flow",network,flow,"1,570,469","Oct 24, 2022 @ 23:24:41.551",event,"Oct 24, 2022 @ 23:24:41.549",connection,false,"EAz/////AP//////CAwAAAF7e3sCe3t7e4DCUAASAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","2,197","1:94XAWQQGT0G8jmlU8Ojdq+tk/Pc=",10,tcp,ipv4,735,"123.123.123.2",6,"49,792",flow
"Oct 24, 2022 @ 23:25:00.001",X9aYCoQBDsc6tFfS3PrR,".ds-packetbeat-8.4.3-2022.10.24-000001","-","78c09f9d-9974-414d-ad01-dfd3da18d681","dvwa_web","3e603bcc-039f-4e01-9d12-067947d134a0","dvwa_web",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"289,450","Oct 24, 2022 @ 23:24:41.550",event,"Oct 24, 2022 @ 23:24:41.550",connection,false,"EAz/////AP//////CAwAAAEKCgoKCgoKFFbQ6gwTAgAAAAAAAA","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)","1,254","1:oi7SFfGKbAeIE8q5SKG+rv6bpbY=",14,tcp,ipv4,697,"10.10.10.10",8,"53,334",flow
