"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",command,cwd,"ecs.version","event.dataset","event.ingested",filename,"host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,sid,tty,uid
"Oct 24, 2022 @ 23:29:17.029","Vt-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","virtualenv -p /usr/bin/python2.7 venv","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.754","/usr/bin/virtualenv","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","656,397","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/virtualenv]: virtualenv -p /usr/bin/python2.7 venv",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","V9-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/usr/bin/python2.7 /usr/lib/python3/dist-packages/virtualenv/discovery/py_info.py","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.754","/usr/bin/python2.7","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","656,536","[uid:0 sid:256075 tty:(none) cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/python2.7]: /usr/bin/python2.7 /usr/lib/python3/dist-packages/virtualenv/discovery/py_info.py",256075,"(none)",0
"Oct 24, 2022 @ 23:29:17.029","WN-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","basename /exploits/Lateral_Movement_T1210/venv","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/bin/basename","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","656,714","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/basename]: basename /exploits/Lateral_Movement_T1210/venv",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Wd-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","pip install -r requirements.txt","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/exploits/Lateral_Movement_T1210/venv/bin/pip","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","656,860","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/pip]: pip install -r requirements.txt",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Wt-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","/sbin/ldconfig -p","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/sbin/ldconfig","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,019","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/ldconfig]: /sbin/ldconfig -p",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","W9-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/exploits/Lateral_Movement_T1210/venv/bin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,133","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","XN-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/local/sbin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,283","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/sbin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Xd-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/local/bin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,407","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/bin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Xt-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/sbin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,530","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/sbin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","X9-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/bin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,648","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","YN-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/sbin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,765","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Yd-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","lsb_release -a","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/bin/lsb_release","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,879","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/bin/lsb_release]: lsb_release -a",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Yt-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/exploits/Lateral_Movement_T1210/venv/bin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","657,992","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/uname]: uname -rs",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Y9-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/local/sbin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","658,131","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/sbin/uname]: uname -rs",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","ZN-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/local/bin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","658,244","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/bin/uname]: uname -rs",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Zd-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/sbin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","658,356","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/sbin/uname]: uname -rs",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Zt-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/usr/bin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","658,463","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/uname]: uname -rs",256075,"/dev/pts/0",0
"Oct 24, 2022 @ 23:29:17.029","Z9-cCoQBDsc6tFfSywuj",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","uname -rs","/exploits/Lateral_Movement_T1210","8.0.0",snoopy,"Oct 24, 2022 @ 23:29:18.755","/sbin/uname","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","658,569","[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/uname]: uname -rs",256075,"/dev/pts/0",0
