"@timestamp","agent.name",message
"Oct 24, 2022 @ 23:13:53.577","filebeat-honeypot","2022/10/24 15:13:52 [172.18.0.5:39794] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:53.577","filebeat-honeypot","2022/10/24 15:13:53 [172.18.0.5:39798] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:53.576","filebeat-honeypot","2022/10/24 15:13:51 [172.18.0.5:39786] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:53.576","filebeat-honeypot","2022/10/24 15:13:52 [172.18.0.5:39790] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:51 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:51 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:52 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:52 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:52 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:52 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
