"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.outcome","event.timezone","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","related.ip","related.user","service.type","source.ip","source.port","system.auth.ssh.event","system.auth.ssh.method","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user",tags,"user.effective.name","user.effective.name.text","user.id","user.name","user.name.text"
"Oct 24, 2022 @ 06:19:48.000",5qEmCoQBnzfJo7CMSFNC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:51.873",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,284","Disconnected from user hannah 10.0.0.2 port 56448",sshd,sshd,271,hostB,"-","-",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-","-","-"
"Oct 24, 2022 @ 06:19:48.000",DKEmCoQBnzfJo7CMW1TK,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:56.873",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,367","pam_unix(sshd:session): session closed for user hannah",sshd,sshd,263,hostB,"-",hannah,system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-",hannah,hannah
"Oct 24, 2022 @ 06:19:44.000",4qEmCoQBnzfJo7CMSFNC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:51.872",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,870","-",sudo,sudo,292,hostB,"-","hannah, root",system,"-","-","-","-","/bin/echo secret","/home/hannah","pts/0",root,"_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",root,root,"-",hannah,hannah
"Oct 24, 2022 @ 06:19:44.000",46EmCoQBnzfJo7CMSFNC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:51.872",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,982","pam_unix(sudo:session): session opened for user root(uid=0) by hannah(uid=1002)",sudo,sudo,292,hostB,"-","hannah, root(uid=0)",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","root(uid=0)","root(uid=0)",1002,hannah,hannah
"Oct 24, 2022 @ 06:19:44.000",5KEmCoQBnzfJo7CMSFNC,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:51.873",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","13,095","pam_unix(sudo:session): session closed for user root",sudo,sudo,292,hostB,"-",root,system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-",root,root
"Oct 24, 2022 @ 06:19:31.000",n6EmCoQBnzfJo7CMIVMt,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:41.869",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,784","pam_unix(sudo:session): session closed for user root",sudo,sudo,289,hostB,"-",root,system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","-","-","-",root,root
"Oct 24, 2022 @ 06:19:31.000",gKEmCoQBnzfJo7CMDVOn,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:36.870",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,564","-",sudo,sudo,289,hostB,"-","hannah, root",system,"-","-","-","-","/bin/echo 1","/home/hannah","pts/0",root,"_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",root,root,"-",hannah,hannah
"Oct 24, 2022 @ 06:19:31.000",gaEmCoQBnzfJo7CMDVOn,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:36.870",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,671","pam_unix(sudo:session): session opened for user root(uid=0) by hannah(uid=1002)",sudo,sudo,289,hostB,"-","hannah, root(uid=0)",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","root(uid=0)","root(uid=0)",1002,hannah,hannah
"Oct 24, 2022 @ 06:19:28.000",faEmCoQBnzfJo7CMDVOn,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:36.868",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,248","-",sudo,sudo,287,hostB,"-","hannah, root",system,"-","-","-","-","/usr/bin/touch secret","/home/hannah","pts/0",root,"_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb",root,root,"-",hannah,hannah
"Oct 24, 2022 @ 06:19:28.000",fqEmCoQBnzfJo7CMDVOn,".ds-syslog-8.3.3-2022.10.22-000001","-","9e62cf87-8197-427d-ad0e-5f37b41cd535",hostB,"b538dadb-6c6e-4ed5-ac9e-3ddcfacd109b",hostB,filebeat,"8.3.3","1.12.0","-","-","system.auth","Oct 24, 2022 @ 06:19:36.869",event,system,"-","+00:00","-",auth,"x86_64",true,hostB,aad00724b7c789054c456a1963563f87,"10.0.0.3","02:42:0a:00:00:03",hostB,bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/auth.log","12,365","pam_unix(sudo:session): session opened for user root(uid=0) by hannah(uid=1002)",sudo,sudo,287,hostB,"-","hannah, root(uid=0)",system,"-","-","-","-","-","-","-","-","_geoip_database_unavailable_GeoLite2-City.mmdb, _geoip_database_unavailable_GeoLite2-ASN.mmdb","root(uid=0)","root(uid=0)",1002,hannah,hannah
