"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.dataset","event.ingested","event.kind","event.module","event.timezone","fileset.name","host.hostname","host.name","input.type","log.file.path","log.offset",message,"process.name","process.name.text","related.hosts","related.user","service.type","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user","user.effective.name","user.effective.name.text","user.id","user.name","user.name.text"
"Oct 23, 2022 @ 06:46:30.000",9WYYBYQB1EsGpQnRcQkl,".ds-filebeat-8.3.3-2022.10.23-000001","-","d34e6c0d-a838-4acc-8a9e-ca76e4ebc16c",ubuntu20,"ee4a9d75-e053-472a-a241-7ba8752b315f",ubuntu20,filebeat,"8.3.3","1.12.0","system.auth","Oct 23, 2022 @ 06:46:38.756",event,system,"+00:00",auth,ubuntu20,ubuntu20,log,"/var/log/auth.log","2,633","-",sudo,sudo,ubuntu20,"lulemon, root",system,"/usr/bin/python3.8 pythonsc.py","/home/lulemon","pts/0",root,root,root,"-",lulemon,lulemon
"Oct 23, 2022 @ 06:46:30.000",9mYYBYQB1EsGpQnRcQkl,".ds-filebeat-8.3.3-2022.10.23-000001","-","d34e6c0d-a838-4acc-8a9e-ca76e4ebc16c",ubuntu20,"ee4a9d75-e053-472a-a241-7ba8752b315f",ubuntu20,filebeat,"8.3.3","1.12.0","system.auth","Oct 23, 2022 @ 06:46:38.757",event,system,"+00:00",auth,ubuntu20,ubuntu20,log,"/var/log/auth.log","2,758","pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory",sudo,sudo,ubuntu20,"-",system,"-","-","-","-","-","-","-","-","-"
"Oct 23, 2022 @ 06:46:30.000",KWYYBYQB1EsGpQnRhAqt,".ds-filebeat-8.3.3-2022.10.23-000001","-","d34e6c0d-a838-4acc-8a9e-ca76e4ebc16c",ubuntu20,"ee4a9d75-e053-472a-a241-7ba8752b315f",ubuntu20,filebeat,"8.3.3","1.12.0","system.auth","Oct 23, 2022 @ 06:46:43.756",event,system,"+00:00",auth,ubuntu20,ubuntu20,log,"/var/log/auth.log","2,884","pam_unix(sudo:session): session opened for user root by lulemon(uid=0)",sudo,sudo,ubuntu20,"lulemon, root",system,"-","-","-","-",root,root,0,lulemon,lulemon
"Oct 23, 2022 @ 06:45:09.000",0WYXBYQB1EsGpQnRJQUP,".ds-filebeat-8.3.3-2022.10.23-000001","-","d34e6c0d-a838-4acc-8a9e-ca76e4ebc16c",ubuntu20,"ee4a9d75-e053-472a-a241-7ba8752b315f",ubuntu20,filebeat,"8.3.3","1.12.0","system.auth","Oct 23, 2022 @ 06:45:13.743",event,system,"+00:00",auth,ubuntu20,ubuntu20,log,"/var/log/auth.log","2,450","-",sudo,sudo,ubuntu20,"lulemon, root",system,list,"/home/lulemon","pts/0",root,root,root,"-",lulemon,lulemon
