@timestamp,agent.hostname,auditd.log.AUID,auditd.log.EGID,auditd.log.EUID,auditd.log.FSGID,auditd.log.FSUID,auditd.log.GID,auditd.log.OGID,auditd.log.SGID,auditd.log.SUID,auditd.log.SYSCALL,auditd.log.UID,auditd.log.a0,auditd.log.a1,auditd.log.a2,auditd.log.a3,auditd.log.arch,auditd.log.cap_fe,auditd.log.cap_fi,auditd.log.cap_fp,auditd.log.cap_frootid,auditd.log.cap_fver,auditd.log.dev,auditd.log.epoch,auditd.log.grantors,auditd.log.inode,auditd.log.item,auditd.log.items,auditd.log.key,auditd.log.kv,auditd.log.laddr,auditd.log.lport,auditd.log.mode,auditd.log.name,auditd.log.nametype,auditd.log.nlnk-fam,auditd.log.nlnk-pid,auditd.log.op,auditd.log.proctitle,auditd.log.rdev,auditd.log.record_type,auditd.log.saddr,auditd.log.saddr_fam,auditd.log.sequence,auditd.log.ses,auditd.log.subj_apparmor,auditd.log.success,auditd.log.syscall,auditd.log.tty,auditd.log.uid,error.message,event.action,event.category,event.ingested,event.module,event.original,event.outcome,event.type,fileset.name,host.hostname,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,network.direction,process.executable,process.executable.text,process.exit_code,process.name,process.name.text,process.parent.pid,process.pid,service.type,user.audit.id,user.effective.group.id,user.effective.id,user.effective.name,user.effective.name.text,user.filesystem.group.id,user.filesystem.id,user.group.id,user.id,user.name,user.name.text,user.owner.group.id,user.owner.id,user.saved.group.id,user.saved.id
"Oct 24, 2022 @ 23:21:55.736",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del company_metrics.txt,-,-,-,-,"285,254",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624915.736:285254): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20636F6D70616E795F6D6574726963732E747874,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.736",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,254",-,docker-default,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624915.736:285254): subj_apparmor=docker-default,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,55c4faa03554,x86_64,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"285,250",4294967295,-,yes,41,(none),1.12.0,-,syscall,process,auditd.log,event,auditd,"type=SYSCALL msg=audit(1666624915.732:285250): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=55c4faa03554 items=0 ppid=179989 pid=256093 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,/usr/bin/smbclient,smbclient,"179,989","256,093",auditd,4294967295,0,0,0,0,0,0,-,-,0,0,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del company_metrics.txt,-,-,-,-,"285,250",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624915.732:285250): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20636F6D70616E795F6D6574726963732E747874,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,250",-,docker-default,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624915.732:285250): subj_apparmor=docker-default,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,55c4faa03554,x86_64,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"285,251",4294967295,-,yes,41,(none),1.12.0,-,syscall,process,auditd.log,event,auditd,"type=SYSCALL msg=audit(1666624915.732:285251): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=55c4faa03554 items=0 ppid=179989 pid=256093 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,/usr/bin/smbclient,smbclient,"179,989","256,093",auditd,4294967295,0,0,0,0,0,0,-,-,0,0,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del company_metrics.txt,-,-,-,-,"285,251",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624915.732:285251): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20636F6D70616E795F6D6574726963732E747874,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,251",-,docker-default,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624915.732:285251): subj_apparmor=docker-default,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,15,x86_64,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"285,252",4294967295,-,yes,41,(none),1.12.0,-,syscall,process,auditd.log,event,auditd,"type=SYSCALL msg=audit(1666624915.732:285252): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=15 items=0 ppid=179989 pid=256093 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,/usr/bin/smbclient,smbclient,"179,989","256,093",auditd,4294967295,0,0,0,0,0,0,-,-,0,0,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del company_metrics.txt,-,-,-,-,"285,252",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624915.732:285252): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20636F6D70616E795F6D6574726963732E747874,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,252",-,docker-default,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624915.732:285252): subj_apparmor=docker-default,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,15,x86_64,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"285,253",4294967295,-,yes,41,(none),1.12.0,-,syscall,process,auditd.log,event,auditd,"type=SYSCALL msg=audit(1666624915.732:285253): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=15 items=0 ppid=179989 pid=256093 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,/usr/bin/smbclient,smbclient,"179,989","256,093",auditd,4294967295,0,0,0,0,0,0,-,-,0,0,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del company_metrics.txt,-,-,-,-,"285,253",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624915.732:285253): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20636F6D70616E795F6D6574726963732E747874,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:55.732",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,253",-,docker-default,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624915.732:285253): subj_apparmor=docker-default,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:53.580",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,80801,0,0,x86_64,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,"285,249",4294967295,-,yes,41,(none),1.12.0,-,syscall,process,auditd.log,event,auditd,"type=SYSCALL msg=audit(1666624913.580:285249): arch=c000003e syscall=41 success=yes exit=7 a0=2 a1=80801 a2=0 a3=0 items=0 ppid=244083 pid=244084 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""metricbeat"" exe=""/usr/share/metricbeat/bin/metricbeat"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,/usr/share/metricbeat/bin/metricbeat,metricbeat,"244,083","244,084",auditd,4294967295,0,0,0,0,0,0,-,-,0,0,,,,,,,,,,
"Oct 24, 2022 @ 23:21:53.580",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/usr/share/metricbeat/bin/metricbeat^@-c^@/etc/metricbeat/metricbeat.yml^@--path.home^@/usr/share/metricbeat^@--path.config^@/etc/metr,-,-,-,-,"285,249",-,-,-,-,-,1.12.0,-,proctitle,-,auditd.log,event,auditd,type=PROCTITLE msg=audit(1666624913.580:285249): proctitle=2F7573722F73686172652F6D6574726963626561742F62696E2F6D657472696362656174002D63002F6574632F6D6574726963626561742F6D6574726963626561742E796D6C002D2D706174682E686F6D65002F7573722F73686172652F6D657472696362656174002D2D706174682E636F6E666967002F6574632F6D657472,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:53.580",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,249",-,unconfined,-,-,-,1.12.0,-,unknown[1420],-,auditd.log,event,auditd,type=UNKNOWN[1420] msg=audit(1666624913.580:285249): subj_apparmor=unconfined,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.331",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.412,-,-,-,-,saddr=0200005023E0AA540000000000000000SADDR={ saddr_fam=inet laddr=35.224.170.84 lport=80 },35.224.170.84,80,-,-,-,-,-,SOCKADDR,0200005023E0AA540000000000000000SADDR={,inet,"285,244",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.331",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.412,-,-,-,-,saddr=02000050227A79200000000000000000SADDR={ saddr_fam=inet laddr=34.122.121.32 lport=80 },34.122.121.32,80,-,-,-,-,-,SOCKADDR,02000050227A79200000000000000000SADDR={,inet,"285,246",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.331",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.412,-,-,-,-,saddr=0200005023E86F110000000000000000SADDR={ saddr_fam=inet laddr=35.232.111.17 lport=80 },35.232.111.17,80,-,-,-,-,-,SOCKADDR,0200005023E86F110000000000000000SADDR={,inet,"285,248",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.330",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.404,-,-,-,-,saddr=02000050227A79200000000000000000SADDR={ saddr_fam=inet laddr=34.122.121.32 lport=80 },34.122.121.32,80,-,-,-,-,-,SOCKADDR,02000050227A79200000000000000000SADDR={,inet,"285,236",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.330",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.404,-,-,-,-,saddr=0200005023E86F110000000000000000SADDR={ saddr_fam=inet laddr=35.232.111.17 lport=80 },35.232.111.17,80,-,-,-,-,-,SOCKADDR,0200005023E86F110000000000000000SADDR={,inet,"285,238",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.330",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.404,-,-,-,-,saddr=0200005023E0AA540000000000000000SADDR={ saddr_fam=inet laddr=35.224.170.84 lport=80 },35.224.170.84,80,-,-,-,-,-,SOCKADDR,0200005023E0AA540000000000000000SADDR={,inet,"285,240",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.330",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.408,-,-,-,-,saddr=020000357F0000350000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.53 lport=53 },127.0.0.53,53,-,-,-,-,-,SOCKADDR,020000357F0000350000000000000000SADDR={,inet,"285,242",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Oct 24, 2022 @ 23:21:51.329",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1666624910.400,-,-,-,-,saddr=020000357F0000350000000000000000SADDR={ saddr_fam=inet laddr=127.0.0.53 lport=53 },127.0.0.53,53,-,-,-,-,-,SOCKADDR,020000357F0000350000000000000000SADDR={,inet,"285,234",-,-,-,-,-,1.12.0,field [auditd.log.kv] does not contain value_split [=],-,-,auditd.log,-,auditd,-,log,false,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",debian,5.15.0-52-generic,Debian GNU/Linux,Debian GNU/Linux,linux,11 (bullseye),log,/var/log/audit/audit.log,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
