"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.dataset","event.ingested","event.kind","event.module","event.timezone","fileset.name","host.hostname","host.name","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","service.type"
"Oct 23, 2022 @ 06:39:00.000",h2URBYQB1EsGpQnRifNu,".ds-filebeat-8.3.3-2022.10.23-000001","-","1214b2ea-5241-4054-9046-188f66bcb83e",tomcat,"7db41664-94d7-48d5-93e8-c6ef395de76d",tomcat,filebeat,"8.3.3","1.12.0","system.syslog","Oct 23, 2022 @ 06:39:06.216",event,system,"+00:00",syslog,tomcat,tomcat,log,"/var/log/syslog","134,353","(root) RELOAD (crontabs/root)",cron,cron,54,tomcat,system
"Oct 23, 2022 @ 06:38:01.000",pmUQBYQB1EsGpQnRmvDt,".ds-filebeat-8.3.3-2022.10.23-000001","-","1214b2ea-5241-4054-9046-188f66bcb83e",tomcat,"7db41664-94d7-48d5-93e8-c6ef395de76d",tomcat,filebeat,"8.3.3","1.12.0","system.syslog","Oct 23, 2022 @ 06:38:05.159",event,system,"+00:00",syslog,tomcat,tomcat,log,"/var/log/syslog","128,611","(root) RELOAD (crontabs/root)",cron,cron,54,tomcat,system
