@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,621,478,478,10.10.10.20,5,"3,306","226,270","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"34,650"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,629,625,625,10.10.10.20,7,"3,306","160,680","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"34,662"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,621,478,478,10.10.10.20,5,"3,306","101,410","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"34,672"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","159,830","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"34,686"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","100,280","Oct 24, 2022 @ 23:21:42.738","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"34,690"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","101,589","Oct 24, 2022 @ 23:21:42.739","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"34,698"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,432,611,611,127.0.0.1,6,"3,306","114,150","Oct 24, 2022 @ 23:21:43.758","Oct 24, 2022 @ 23:21:43.758",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"54,894"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","429,749","Oct 24, 2022 @ 23:21:47.342","Oct 24, 2022 @ 23:21:47.341",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"34,710"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,621,478,478,10.10.10.20,5,"3,306","216,100","Oct 24, 2022 @ 23:21:47.342","Oct 24, 2022 @ 23:21:47.342",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"34,724"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,"1,011","1,633","1,633",10.10.10.20,9,"3,306","576,332","Oct 24, 2022 @ 23:21:47.342","Oct 24, 2022 @ 23:21:47.342",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,011",10.10.10.10,9,"34,728"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","486,571","Oct 24, 2022 @ 23:21:47.342","Oct 24, 2022 @ 23:21:47.342",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"34,730"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,432,611,611,127.0.0.1,6,"3,306","98,610","Oct 24, 2022 @ 23:21:53.998","Oct 24, 2022 @ 23:21:53.997",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"56,114"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,"1,437,476","39,484","39,484",10.10.10.110,179,"9,200","209,920,082,408","Oct 24, 2022 @ 23:21:51.438","Oct 24, 2022 @ 23:18:21.517",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,476,960",485,tcp,ipv4,"1,437,476",10.10.10.20,306,"56,600"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,"460,927","27,023","27,023",10.10.10.110,101,"9,200","209,918,916,147","Oct 24, 2022 @ 23:21:57.582","Oct 24, 2022 @ 23:18:27.663",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"487,950",287,tcp,ipv4,"460,927",10.10.10.20,186,"56,606"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,72,-,-,ff02::2,-,-,0,"Oct 24, 2022 @ 23:21:42.737","Oct 24, 2022 @ 23:21:42.737",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),72,1,ipv6-icmp,ipv6,72,fe80::11:48ff:fe86:2f5b,1,-
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","350,359","Oct 24, 2022 @ 23:21:40.690","Oct 24, 2022 @ 23:21:40.689",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"38,646"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,553,546,546,10.10.10.20,6,"3,306","129,450","Oct 24, 2022 @ 23:21:40.690","Oct 24, 2022 @ 23:21:40.690",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"38,654"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,"1,079","1,565","1,565",10.10.10.20,8,"3,306","305,670","Oct 24, 2022 @ 23:21:40.690","Oct 24, 2022 @ 23:21:40.690",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"38,656"
"Oct 24, 2022 @ 23:22:00.003",dvwa_db,697,557,557,10.10.10.20,6,"3,306","161,500","Oct 24, 2022 @ 23:21:42.739","Oct 24, 2022 @ 23:21:42.738",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"34,694"
