"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","bytes_in","bytes_out","destination.bytes","destination.ip","destination.packets","destination.port","ecs.version","event.action","event.category","event.dataset","event.duration","event.end","event.kind","event.start","event.type","flow.final","flow.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","network.bytes","network.community_id","network.packets","network.transport","network.type","source.bytes","source.ip","source.packets","source.port",type
"Oct 24, 2022 @ 23:26:50.002","AteaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",805,799,799,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"590,620","Oct 24, 2022 @ 23:25:53.615",event,"Oct 24, 2022 @ 23:25:53.614","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFA7Y6gyvAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,604","1:Z2z5uhiAsJ2PJ+fCkOTEaQA/0sw=",16,tcp,ipv4,805,"10.10.10.10",9,"55,310",flow
"Oct 24, 2022 @ 23:26:50.002","A9eaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"136,240","Oct 24, 2022 @ 23:25:53.615",event,"Oct 24, 2022 @ 23:25:53.615","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFBLY6gywAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:NYQGKCdjqQbFVgFBlWEG4p56Iws=",12,tcp,ipv4,553,"10.10.10.10",6,"55,314",flow
"Oct 24, 2022 @ 23:26:50.002","BNeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"209,683","Oct 24, 2022 @ 23:25:53.615",event,"Oct 24, 2022 @ 23:25:53.615","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFBjY6gyxAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:SB7ApU9JCxIlRK+hJQs7o6XS5oA=",14,tcp,ipv4,697,"10.10.10.10",8,"55,320",flow
"Oct 24, 2022 @ 23:26:50.002","BdeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"184,744","Oct 24, 2022 @ 23:25:53.615",event,"Oct 24, 2022 @ 23:25:53.615","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFCLY6gyyAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:g0c6cQlZply0eaAoawkY5ZUjy1c=",12,tcp,ipv4,553,"10.10.10.10",6,"55,330",flow
"Oct 24, 2022 @ 23:26:50.002","BteaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",697,557,557,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"351,540","Oct 24, 2022 @ 23:25:53.616",event,"Oct 24, 2022 @ 23:25:53.615","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFDDY6gyzAQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:KBRIhA2ZGJOh4LmId0TNwaJO/W0=",14,tcp,ipv4,697,"10.10.10.10",8,"55,344",flow
"Oct 24, 2022 @ 23:26:50.002","B9eaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",553,546,546,"10.10.10.20",6,"3,306","8.0.0","network_flow",network,flow,"231,480","Oct 24, 2022 @ 23:25:53.616",event,"Oct 24, 2022 @ 23:25:53.615","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFDLY6gy0AQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,099","1:9Lv2iNr0zRIZTRuDfHk5uwgMn+g=",12,tcp,ipv4,553,"10.10.10.10",6,"55,346",flow
"Oct 24, 2022 @ 23:26:50.002","CNeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",432,611,611,"127.0.0.1",6,"3,306","8.0.0","network_flow",network,flow,"170,679","Oct 24, 2022 @ 23:25:53.616",event,"Oct 24, 2022 @ 23:25:53.616","connection, end",true,"EAz/////AP//////CAwAAAF/AAABfwAAARKx6gy1AQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,043","1:AQCPkyqYkBV2eRGdDL3i6W+aQ/0=",11,tcp,ipv4,432,"127.0.0.1",5,"45,330",flow
"Oct 24, 2022 @ 23:26:50.002","CdeaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",432,611,611,"127.0.0.1",6,"3,306","8.0.0","network_flow",network,flow,"114,950","Oct 24, 2022 @ 23:26:03.854",event,"Oct 24, 2022 @ 23:26:03.854","connection, end",true,"EAz/////AP//////CAwAAAF/AAABfwAAAcSv6gy2AQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,043","1:ac72KY4DBhEJen4Hs6ArWy6cE5g=",11,tcp,ipv4,432,"127.0.0.1",5,"44,996",flow
"Oct 24, 2022 @ 23:26:50.002","CteaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",432,611,611,"127.0.0.1",6,"3,306","8.0.0","network_flow",network,flow,"180,620","Oct 24, 2022 @ 23:26:13.586",event,"Oct 24, 2022 @ 23:26:13.586","connection, end",true,"EAz/////AP//////CAwAAAF/AAABfwAAAZSg6gy3AQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,043","1:G+Hdri4MvMunOhhcb403P/z4RjA=",11,tcp,ipv4,432,"127.0.0.1",5,"41,108",flow
"Oct 24, 2022 @ 23:26:50.002","C9eaCoQBDsc6tFfSihF_",".ds-packetbeat-8.4.3-2022.10.24-000001","-","284bf25d-6e89-400e-95a1-037edfec5bc0","dvwa_db","6c71a53f-e22b-4efa-89c2-2686e21c53d3","dvwa_db",packetbeat,"8.4.3",629,625,625,"10.10.10.20",7,"3,306","8.0.0","network_flow",network,flow,"325,554","Oct 24, 2022 @ 23:26:18.194",event,"Oct 24, 2022 @ 23:26:18.194","connection, end",true,"EAz/////AP//////CAwAAAEKCgoKCgoKFKDf6gy4AQAAAAAAAA","x86_64",false,"dvwa_db","-","10.10.10.20","02:42:0a:0a:0a:14","dvwa_db",jammy,debian,"5.15.0-52-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)","1,254","1:ZtvbV0j+Dpyp8qIs2kYIZjT8iLA=",14,tcp,ipv4,629,"10.10.10.10",7,"57,248",flow
