@timestamp,Classification,Date,JobType,LogType,Month,Path,Time,User,host.os.version.keyword,log.file.path
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3770]:,Oct,/usr/bin/config/checkAdmin.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3771]:,Oct,/usr/bin/config/checkDb.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3774]:,Oct,/usr/bin/config/checkElk.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",MONITOR,25,CMD,CRON[3777]:,Oct,/usr/bin/config/checkDev.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:28:05.653",SERVICE,25,CMD,CRON[3782]:,Oct,/usr/bin/config/rsyslog.sh,15:28:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:27:01.621",MONITOR,25,CMD,CRON[3731]:,Oct,/usr/bin/config/checkAdmin.sh,15:27:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:27:01.621",SERVICE,25,CMD,CRON[3732]:,Oct,/usr/bin/config/rsyslog.sh,15:27:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:27:01.621",MONITOR,25,CMD,CRON[3737]:,Oct,/usr/bin/config/checkDb.sh,15:27:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:27:01.621",MONITOR,25,CMD,CRON[3733]:,Oct,/usr/bin/config/checkElk.sh,15:27:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:27:01.621",MONITOR,25,CMD,CRON[3736]:,Oct,/usr/bin/config/checkDev.sh,15:27:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:26:07.593",MONITOR,25,CMD,CRON[3692]:,Oct,/usr/bin/config/checkAdmin.sh,15:26:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:26:07.593",MONITOR,25,CMD,CRON[3695]:,Oct,/usr/bin/config/checkDb.sh,15:26:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:26:07.593",MONITOR,25,CMD,CRON[3696]:,Oct,/usr/bin/config/checkElk.sh,15:26:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:26:07.593",SERVICE,25,CMD,CRON[3698]:,Oct,/usr/bin/config/rsyslog.sh,15:26:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:26:07.593",MONITOR,25,CMD,CRON[3699]:,Oct,/usr/bin/config/checkDev.sh,15:26:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:25:03.580",MONITOR,25,CMD,CRON[3653]:,Oct,/usr/bin/config/checkAdmin.sh,15:25:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:25:03.580",SERVICE,25,CMD,CRON[3657]:,Oct,/usr/bin/config/rsyslog.sh,15:25:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
